Period;Seller;SKU;Revenue;Sales;Balance;Turnover days;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;Comments;Days in website;Search cpm avg
year;11St Street;185367706;0;0;0;0;1000;70;297;291;0;454;0
year;ABC R.l.g.;263238865;0;0;0;0;3100;61;1182;1158;0;129;0
year;AMY Group;1923304044;0;0;0;0;27000;30;25400;24888;0;9;0
year;ARD;712812044;0;0;0;0;9200;114;5366;0;0;680;0
year;Adele;438569912;6202;6;0;0;6459;149;1613;1580;6;622;0
year;Adorable;496719617;0;0;0;0;7799;77;4781;4636;0;360;0
year;Ailuna;766345090;4286;3;0;0;61036;261;20892;20473;2;1725;0
year;Aiza;1812882391;2478;2;3;3;12300;233;8101;7936;3;921;0
year;Aleum;538091829;1096406;779;0;0;6000;109;2656;2602;436;216;0
year;Alexandra;1408027819;6582;6;0;0;12050;304;5875;4834;15;1400;0
year;Am.store;2223173017;0;0;0;0;147853;441;66340;65739;0;615;0
year;Amedistore;285943850;0;0;0;0;2150;41;1253;1227;0;72;0
year;Anis;301384558;16671;23;76;132;1450;53;678;664;2;39;353
year;Arabiyan med;1078386503;0;0;0;0;20000;246;7596;7442;0;429;0
year;Asian Beauty Cosmetic;3908446540;0;0;0;0;70000;857;38527;37746;174;8205;0
year;Ayasha;267006565;0;0;0;0;2100;34;1376;1376;0;114;0
year;B.m.r.oneclick;8612812855;6668;6;1;-1;59040;1164;37726;35101;90;4572;0
year;Baizak;492326292;26874;25;0;0;5598;130;1949;1909;7;379;0
year;Balausa Cosmetics;293954405;0;0;0;0;5000;72;1368;1340;3;61;0
year;Beauty Life;886869296;0;0;0;0;7900;86;6178;6053;0;1197;0
year;Beauty Up;291947385;0;0;0;0;7980;136;2552;0;0;1446;0
year;Beautyko;1110496355;925889;606;32;1;20584;328;7022;6879;49;1610;0
year;Beautymania;4170967661;2214;2;2;-1;32033;626;19957;19551;8;3384;0
year;Beisen;2810083915;267604;199;1;21;25400;330;18037;17669;939;2953;0
year;Brave Beauty;732046742;288724;284;0;0;4770;93;3262;3195;147;586;0
year;Butikcosmetics;3248221911;0;0;0;0;26050;371;18986;18598;0;3472;0
year;Clever Store;244360451;0;0;0;0;1620;24;1224;1199;150;198;0
year;Cosmo;1023030935;3169;2;0;0;9106;122;6261;6133;2;628;0
year;Dishop;774807300;0;0;0;0;13850;227;5809;5691;0;1685;0
year;Eldis;1476200560;0;0;0;0;12310;240;7362;7211;3;1143;0
year;Firmach;32946560588;3278405;2594;283;106;514070;4641;366068;358641;9299;65698;300
year;Flatrent;1804472550;2490690;1990;165;160;21400;334;9272;9083;1181;1111;752
year;Flickersm;222417741;0;0;0;0;2000;30;1394;1366;0;289;0
year;G.g.g.;1697014896;0;0;2;-2;13750;170;10311;10102;16;1451;0
year;G.t.a;1173141767;0;0;0;0;8500;64;7140;6995;1;304;0
year;Girlish Charms;2166729147;2136;2;0;0;16100;281;11035;10808;1;2046;0
year;Gitinov Kh. I.;2092666293;14926;10;0;0;16350;289;10379;10169;154;1174;0
year;Gloss Yiwa;137352608;0;0;0;0;1000;73;270;0;12;784;0
year;Grossvi;1507211908;0;0;0;0;18390;237;9639;9444;0;215;0
year;Home Market;4502503244;0;0;0;0;33750;540;21175;20744;12;739;0
year;Hottie Cosmetics;6734159157;821556;788;2;32;37448;839;23949;23456;651;2935;1030
year;Katrinshop;1700706098;1453;1;0;0;17050;336;9818;9618;2;2717;0
year;Keauty;2346615485;0;0;0;0;20389;40;19178;18790;0;557;0
year;Kiwano;3985587021;2164;2;0;0;42170;1034;18810;18425;28;7034;0
year;Kontazio;280617530;0;0;0;0;3000;28;2160;2116;0;81;0
year;Korbutik;3244249877;4704;4;0;0;26050;354;19361;18969;4;3560;0
year;Korea;3760311398;1503;1;2;33;31430;471;20761;20340;1;1633;0
year;Korea Love;3218496192;3463;3;0;0;24650;531;13682;13402;3;1344;0
year;Korea Mood;784049349;2338573;2738;197;56;15714;232;7715;6029;1512;3093;0
year;Korealine;431137803;0;0;0;0;7500;63;5112;5009;0;653;0
year;Koreandream;632072632;0;0;0;0;5000;90;3429;3359;1;959;0
year;Kukku;2067243813;7515;5;2;-1;19850;241;13073;12808;6;400;0
year;Kuzanov Store;1708526550;1790;2;0;0;7990;90;6782;6644;37;510;0
year;Lakshme;1010097668;4326;3;0;0;11900;196;7184;7039;3;1891;0
year;Laurus 777;233944219;0;0;0;0;2000;47;1051;1029;0;232;0
year;Life Style;7739720592;6555;6;3;-2;72850;1152;43364;42481;83;4084;0
year;Lifecosm;9735225567;190734112;125087;31089;2004;214742;2821;69290;67885;58312;12264;14320
year;Live;10232439337;153820;129;156;52;86399;1731;49005;47915;52;8307;138
year;Live 26;4138965264;4518;5;0;0;32675;655;19228;18816;12;2547;0
year;Live2;2304844573;0;0;0;0;23200;236;18562;0;1;5152;0
year;Lumeno;2006111892;0;0;1;-1;19250;189;14089;13804;2;490;0
year;M.i.m Showroom;13342122320;201995;167;5;-5;139300;1652;93208;91318;250;6887;0
year;MD Shop;5826220357;27104088;23707;2392;328;52510;1134;27571;27010;9903;4879;2817
year;Magishop;7307174564;1224;1;0;0;62100;1173;35776;35042;1;3878;0
year;Meyou Shop;4373359719;53777;46;27;144;56200;1002;20853;20429;80;952;0
year;Miss Beauty;4451365573;5153;4;0;0;39550;474;26681;26141;3619;839;0
year;MЮ Сервис;1744003426;2900;2;0;0;24600;581;6634;6498;13;2512;0
year;Naturbeauty;410447780;0;0;1;-1;15500;169;2321;2273;0;735;0
year;Online Market;316035266;0;0;0;0;1539;5;1447;1418;0;8;0
year;Original 100;947971164;0;0;0;0;6940;140;4496;4405;0;913;0
year;Pumpuss;454680259;0;0;0;0;3098;54;2261;0;5;554;0
year;Purekore;958230484;0;0;0;0;13450;48;11298;11070;0;7;0
year;RR Cosmetics;627643110;0;0;0;0;5600;33;4636;4542;1;28;625
year;Rano Beauty;949682342;0;0;0;0;4150;16;3903;3824;0;24;0
year;Richi212;671356944;0;0;0;0;7200;67;5540;5428;0;870;0
year;Sammi Shop;5787008331;27780;20;0;0;58900;1056;35442;30790;34;8883;0
year;Sarto;2752605336;1776;1;0;0;26360;356;18222;17851;0;3370;0
year;Seol;2458491391;23908;17;2;2;28600;483;12966;12657;212;918;0
year;Shogha Skin;272552086;0;0;0;0;7000;66;2368;2320;4;99;0
year;Sima;385871735;0;0;0;0;3900;63;2661;2606;0;848;0
year;Sofashop;544609265;0;0;0;0;6000;101;2948;2888;0;196;0
year;Soul;2841947682;0;0;0;0;26560;45;24983;24481;0;71;0
year;Sst-Group;4031698037;1047;1;0;0;31053;347;24222;12951;5;2754;0
year;Sweet;1588511355;0;0;0;0;17460;214;11503;11272;0;32;0
year;Taurowskii;214745201;0;0;0;0;1700;51;831;0;2;330;0
year;Tenderness;822563825;1306070;912;367;51;11000;197;3860;3782;993;276;403
year;The Same Package;520390224;0;0;0;0;3080;62;2110;2066;0;257;0
year;Tokyo;286834762;0;0;0;0;2000;35;1296;1270;0;71;0
year;Topface;4392936473;78796;65;2;50;47800;754;31140;30508;103;8802;0
year;Umay;640309441;0;0;0;0;5516;48;4263;4177;0;4;0
year;Umma Store;267356289;0;0;0;0;3800;57;1614;1581;0;114;0
year;Ummfirdaus.almaty;485783929;0;0;0;0;3600;80;2150;2106;0;406;0
year;Verovika;8414338569;25946;22;1;-1;86082;1726;33951;33258;2819;1866;0
year;Vice;4161445296;0;0;0;0;24200;68;22760;22297;0;33;3200
year;Wildmarket;467752558;3088;3;0;0;2610;32;2192;2148;4;494;0
year;Yamakasi;3033509926;3939;3;0;0;34900;875;14415;14120;2;5649;0
year;Yerbol;1877724013;90944;67;0;0;20700;448;10806;10607;847;4451;0
year;Yolo;4525995343;6905690;5281;1647;356;65600;1212;23767;23286;1944;4276;550
year;ZZ Group;217267729;0;0;0;0;2800;5;2634;2581;0;320;0
year;Zdanie;2045415468;128622;119;0;0;20850;449;12084;11837;725;5056;0
year;Zhan Cosmetics;316612112;83600;39;57;7;5200;58;2154;2110;3;4;300
year;Zima;5687474380;15389;16;2;-1;49550;961;31236;26143;32;8146;0
year;Абакаров Басир Мустафаевич;1083575247;0;0;0;0;9233;212;4300;4212;0;422;0
year;Абдукеримова Амина Якубовна;1111071553;0;0;0;0;9000;167;5885;5765;2;1460;0
year;Абдулаева Ш. М.;4450200814;2024;1;0;0;42325;353;33190;23604;0;2327;0
year;Адамова Мария Курбановна;475040201;0;0;1;-1;86000;185;5472;5361;1;466;0
year;Адилов Шамиль Эйвазович;4746140866;1296;1;1;-1;233435;693;98759;98355;0;1424;0
year;Адухов Хабибула Магомедович;6155897847;1458;1;0;0;39700;542;29549;28947;2;1814;0
year;Азадова Анджела Хисеновна;495735719;0;0;0;0;5085;88;2805;2748;0;366;0
year;Алибеккадиева Айшат Абдулкеримовна;3192906830;1769;1;0;0;23594;284;17424;17068;2;726;0
year;Алигаджиева;10143841721;60417;36;0;0;72410;1039;52676;51605;388;6037;300
year;Алимирзаев Гасан Мухтарович;4214854332;35551;29;5;25;38600;663;22998;22532;119;3169;0
year;Алимирзаева Минара Мухтаровна;5730386312;111191;95;2;10;48500;913;30593;27911;447;6883;0
year;Альбина;960413478;0;0;0;0;9600;154;6595;5101;0;2140;0
year;Амиржан;1075143458;6080;4;0;0;15600;41;14493;12719;7;2782;0
year;Апельсин шоп;3149572332;0;0;0;0;16600;369;10595;10378;264;724;0
year;Асюля;14348101825;1078;1;0;0;250220;1838;188388;1072;4;32372;0
year;Ахмедилова Эльвира Дибировна;279659910;0;0;0;0;1790;34;1172;1148;0;82;0
year;Балашова Мадина Бейбитовна;267671580;3701;2;0;0;4000;59;1612;1579;0;113;0
year;Бахтияров Магомед Муминович;13386263082;11155;8;0;0;229900;2111;160514;988;92;31564;0
year;Бахтиярова Имара Курбановна;4267786335;14811;14;0;0;67300;731;45736;2275;371;10563;0
year;Бахтиярова Сафия Аркадьевна;263227781;0;0;0;0;1935;41;1128;1105;33;126;0
year;Бейбарыс П;3190113947;0;0;0;0;43570;80;40983;40155;2;6900;0
year;Бекмирзаева Мадинат Абдулгамидовна;2496637453;2050;1;0;0;21300;483;11644;11406;0;2984;0
year;Бикиев Омурбек;1059142570;1069;1;2;128;22000;266;7283;7134;1;488;0
year;Бота;4924384429;67732;25;6;305;122700;780;83520;79637;15;10048;0
year;Гаджиев Умар Магомедарипович;871858002;0;0;0;0;8500;112;6119;5995;0;1268;0
year;Гаджимурад;12456157277;0;0;0;0;113780;1081;87388;85614;1;8411;0
year;Газиев Магомедзагид Магомедрасулович;228529040;0;0;0;0;2300;16;1912;1873;0;271;0
year;Гасанбекова С. И;3454717582;0;0;2;-2;120000;966;22932;22468;4;826;0
year;Гасанов Шамиль Магомаевич;5120063844;13310;11;0;0;48500;828;32299;31643;360;9494;0
year;Гасанова Аминат Ахмедовна;1659732442;0;0;0;0;17100;327;10107;9901;1;2855;0
year;Деветов Мухтархан Рашитханович;463171828;0;0;0;0;3500;62;2410;2360;0;512;0
year;Диана;1457973717;0;0;0;0;14500;202;9601;1015;2;2491;0
year;Есболганова;5104430173;13584;13;0;0;75100;1737;18051;17679;21;6900;0
year;Заира;828537590;0;0;0;0;10500;140;6804;6666;0;1440;0
year;Зайнулабидов Магомед Апанди Магомедович;645129580;0;0;0;0;5600;96;3762;3685;0;982;0
year;Зульфия;198171142;0;0;0;0;2100;46;1118;1095;0;400;0
year;ИП;1015314109;6687;5;0;0;11800;163;6538;6406;15;770;0
year;ИП Abaevna;292552799;0;0;0;0;4590;53;2148;2105;0;62;0
year;ИП Abc;6570297813;4256505;3355;1591;1532;85540;1514;38827;36954;6455;7064;0
year;ИП Aikerbez;1519809346;1956;2;0;0;8550;172;6077;931;1;993;0
year;ИП Alioris;2256071113;3230;2;0;0;20430;73;18952;18566;9;2828;0
year;ИП All For You;1017430109;0;0;0;0;11200;259;3811;3733;0;644;0
year;ИП Argynbaev;1161756012;0;0;0;0;65000;311;24269;23539;0;1265;0
year;ИП Arna;303176801;0;0;30;-1;2800;48;1451;1421;479;0;0
year;ИП B Stars;539445279;23214;25;0;0;7060;148;1778;1742;2;170;0
year;ИП BB Mania;318274909;0;0;0;0;2132;5;2005;1964;0;4;0
year;ИП Balance;271354431;0;0;0;0;2200;44;1219;1194;0;104;0
year;ИП Danai;196023802;7020;8;0;0;3200;72;876;0;2;392;0
year;ИП Dibo;942481627;0;0;0;0;9800;159;5871;5752;10;938;0
year;ИП Dream;166494827;0;0;0;0;2190;33;1456;0;0;584;0
year;ИП Hanali;2213930385;0;0;0;0;18000;101;15298;14988;9;66;275
year;ИП House OF Cosmetics;5177620772;6423;3;2;61;185797;1377;49642;48640;5;1972;0
year;ИП I Like;7036729864;2463533;1848;751;880;91411;1334;37523;36761;2676;1494;781
year;ИП Ksc;5906463243;3776668;2861;1127;1316;87901;1523;32960;32290;4323;6066;348
year;ИП Lite;2535574909;0;0;0;0;32898;352;17394;17042;0;57;296
year;ИП Lotos;1923031691;15658;10;0;0;14768;115;12153;11907;253;764;0
year;ИП Loveskin;1508750459;3262;2;0;0;11800;91;9518;9325;7;205;0
year;ИП Matakana;809633497;33700;28;13;184;8800;181;3344;3276;1;263;0
year;ИП Muratovna;648372078;2210;2;0;0;7700;148;3851;3773;1;969;0
year;ИП NS;480531012;0;0;0;0;2390;63;1624;1590;0;434;0
year;ИП Onlinetrade;232805567;1476;2;0;0;2200;74;569;551;1;250;0
year;ИП Orda Doors;211595464;0;0;0;0;2070;51;1013;992;0;343;0
year;ИП Premium Store;242123467;0;0;0;0;1211;28;871;853;0;209;0
year;ИП Rose;878103488;0;0;0;0;10000;140;7200;7054;1;2535;0
year;ИП Royal Mart;278168697;0;0;0;0;6000;73;1580;1548;0;82;0
